customer_id,age,gender,signup_channel,membership_tier,monthly_visits,avg_discount_rate,online_ad_cost,offline_ad_cost,total_ad_cost,campaign_group,responded,monthly_spend
1,21,Female,Organic Search,Basic,10,0.14,16.56,0.34,16.9,control,0,35.1
2,47,Female,Referral,Silver,7,0.037,7.45,8.0,15.45,treatment,0,55.42
3,42,Female,Social Ads,Silver,8,0.347,20.54,6.92,27.46,treatment,1,86.58
4,27,Female,Referral,Silver,5,0.269,9.98,2.8,12.78,control,0,20.63
5,26,Female,Social Ads,Basic,13,0.157,6.83,0.57,7.4,treatment,1,25.43
6,26,Female,Social Ads,Basic,4,0.091,11.22,2.79,14.01,control,0,18.32
7,18,Female,Organic Search,Basic,3,0.214,3.1,3.93,7.03,treatment,0,13.32
8,31,Male,Referral,Basic,5,0.262,19.77,15.88,35.65,control,0,17.82
9,19,Female,Social Ads,Gold,19,0.068,8.21,1.83,10.04,control,0,32.69
10,29,Male,Organic Search,Gold,15,0.13,9.18,10.46,19.64,control,0,35.22
11,36,Male,Organic Search,Gold,14,0.254,11.0,10.56,21.56,treatment,1,35.78
12,36,Female,Referral,Silver,10,0.256,11.62,2.15,13.77,control,0,23.46
13,50,Female,Social Ads,Basic,6,0.167,30.32,9.57,39.89,control,0,20.82
14,41,Female,Referral,Gold,13,0.37,4.94,0.0,4.94,control,1,25.96
15,25,Female,Social Ads,Basic,7,0.244,6.13,1.02,7.15,control,0,30.3
16,21,Male,Organic Search,Basic,8,0.017,1.02,20.51,21.53,treatment,0,41.64
17,39,Female,Organic Search,Basic,4,0.088,9.57,3.4,12.97,treatment,0,20.36
18,29,Female,Organic Search,Silver,9,0.142,14.6,5.59,20.19,treatment,0,26.41
19,55,Female,Social Ads,Silver,14,0.121,5.61,6.03,11.64,control,0,56.21
20,29,Female,Referral,Gold,13,0.346,8.23,5.38,13.61,control,0,27.32
21,33,Female,Social Ads,Basic,2,0.142,6.08,5.34,11.42,treatment,0,14.82
22,18,Male,Organic Search,Basic,3,0.379,20.99,0.48,21.47,treatment,0,48.34
23,35,Male,Social Ads,Gold,11,0.26,3.52,2.17,5.69,control,1,18.97
24,20,Male,Referral,Silver,7,0.251,5.38,6.77,12.15,control,0,19.67
25,32,Female,Organic Search,Basic,3,0.129,12.26,3.03,15.29,control,0,27.01
26,27,Female,Social Ads,Basic,5,0.073,10.75,3.47,14.22,treatment,0,27.51
27,31,Male,Referral,Basic,8,0.212,15.78,7.21,22.99,treatment,0,41.85
28,31,Female,Social Ads,Basic,5,0.12,2.84,9.06,11.9,treatment,0,10.9
29,32,Male,Referral,Silver,10,0.16,11.66,2.36,14.02,control,0,71.77
30,55,Female,Referral,Basic,5,0.329,4.43,20.43,24.86,treatment,0,40.66
31,42,Female,Referral,Silver,13,0.138,6.21,12.89,19.1,control,0,39.31
32,55,Female,Referral,Gold,11,0.128,20.81,4.1,24.91,treatment,0,38.55
33,34,Female,Referral,Basic,11,0.314,8.37,3.29,11.66,control,0,28.95
34,31,Male,Referral,Basic,3,0.292,2.03,7.77,9.8,treatment,0,30.06
35,30,Female,Social Ads,Basic,4,0.202,17.75,2.51,20.26,treatment,0,18.04
36,35,Female,Organic Search,Silver,12,0.107,5.74,1.11,6.85,treatment,0,37.73
37,51,Male,Social Ads,Basic,3,0.313,4.14,1.35,5.49,treatment,0,15.4
38,40,Female,Social Ads,Gold,11,0.192,4.83,5.85,10.68,treatment,0,31.9
39,43,Female,Influencer,Basic,6,0.166,16.85,7.67,24.52,treatment,0,71.41
40,40,Female,Influencer,Basic,3,0.373,2.13,4.34,6.47,treatment,1,25.27
41,31,Male,Organic Search,Silver,12,0.236,7.94,6.74,14.68,control,0,28.55
42,49,Female,Organic Search,Basic,6,0.172,1.95,16.18,18.13,treatment,0,29.34
43,33,Female,Organic Search,Basic,5,0.092,7.23,3.7,10.93,treatment,0,34.12
44,52,Female,Referral,Gold,10,0.3,5.45,0.76,6.21,control,0,67.3
45,46,Male,Organic Search,Basic,3,0.089,10.22,8.89,19.11,treatment,0,16.48
46,54,Male,Organic Search,Gold,10,0.054,9.23,15.67,24.9,control,0,16.46
47,26,Male,Referral,Silver,7,0.369,21.74,5.98,27.72,control,0,16.65
48,39,Female,Influencer,Silver,5,0.283,14.83,2.0,16.83,control,0,22.28
49,24,Male,Organic Search,Basic,11,0.215,5.34,0.66,6.0,treatment,0,22.24
50,45,Female,Referral,Gold,14,0.213,8.4,2.94,11.34,control,0,43.49
51,30,Female,Social Ads,Silver,10,0.065,12.71,2.56,15.27,control,0,23.78
52,36,Female,Social Ads,Basic,6,0.157,13.59,5.73,19.32,control,1,32.28
